Adina / Edad;Kasu positiboak / Positivos;Emakumezkoak: Kasu positiboak / Mujeres: Positivos;Gizonezkoak: Kasu positiboak / Hombres: Positivos;Biztanleria 2019 / Población 2019;Emakumezkoak: Biztanleria 2019 / Emakumezkoak: Población 2019;Gizonezkoak: Biztanleria 2019 / Gizonezkoak: Población 2019;100.000 biztanleko tasa  / Tasa por 100.000 habitantes;Emakumezkoak: 100.000 biztanleko tasa  / Mujeres: Tasa por 100.000 habitantes;Gizonezkoak: 100.000 biztanleko tasa  / Hombres: Tasa por 100.000 habitantes;Kasuen guztien gaineko % / % sobre el total de los casos;Hildakoak / Fallecidos(*);Emakumezkoak: Hildakoak / Mujeres: Fallecidos;Gizonezkoak: Hildakoak / Hombres: Fallecidos;Hilgarritasuna / Letalidad;Emakumezkoak: Hilgarritasuna / Letalidad;Gizonezkoak: Hilgarritasuna / Letalidad;
0 - 9 ;19548;9631;9916;190667;93085;97582;10252,42963;10346,45754;10161,71015;0,073215403;1;0;1;0,00005116;0;0,00024534;
10-19;37944;18328;19615;210862;101692;109170;17994,70744;18023,04999;17967,39031;0,142116085;1;0;1;0,00002635;0;0,00014198;
20 - 29 ;38948;18679;20263;199866;98373;101493;19487,05633;18987,93368;19964,92369;0,145876484;4;2;2;0,0001027;0,0002346;0,00026031;
30 - 39 ;32901;17250;15645;258272;128980;129292;12738,89543;13374,16654;12100,51666;0,12322795;14;5;9;0,00042552;0,00054413;0,001193634;
40 - 49 ;41215;21544;19669;358698;177352;181346;11490,16722;12147,59349;10846,11737;0,154367343;44;18;26;0,001067572;0,001536492;0,002533866;
50 - 59 ;37633;19638;17991;336769;170989;165780;11174,72214;11484,94932;10852,33442;0,140951261;121;43;78;0,003215263;0,003775904;0,007953503;
60 - 69 ;23562;11620;11933;277319;145053;132266;8496,352576;8010,864994;9021,970877;0,088249505;375;118;257;0,015915457;0,017309667;0,037284201;
70 - 79 ;14858;7559;7299;210914;115791;95123;7044,577411;6528,14122;7673,22309;0,055649399;901;308;593;0,060640732;0,066927423;0,130129471;
80 - 89 ;11807;7267;4539;124844;77854;46990;9457,402839;9334,138259;9659,502022;0,044222133;1939;931;1008;0,164224613;0,180741604;0,320814768;
Más de 90 edo gehiago;5052;3814;1238;31500;23326;8174;16038,09524;16350,85313;15145,58356;0,018921844;1312;889;423;0,259699129;0,306129477;0,475280899;
No consta;3525;1808;1695;;;;;;;0,013202593;;;;;;;
GUZTIRA / TOTAL;266993;137138;129803;2199711;1132495;1067216;12137,6399;12109,36914;12162,76742;1;4747;2335;2412;0,017779492;0,032281701;0,038240797;
(*) Laborategiak proba azkarren lote bat errepasatu behar izan du aurrez emandako emaitza batzuk zuzendu eta egiaztatuz. Ondorioz, emaitza horiei zegozkien datu batzuk zuzendu dira. ;;;;;;;;;;;;;;;;;
(*) Se han corregido datos relativos a los test rápidos debido a que el laboratorio ha revisado un lote de pruebas rápidas corrigiendo y validando algunos resultados previos.;;;;;;;;;;;;;;;;;
(*) Hildakoen kopurua agian ez dator bat egunen batean ospitaleetatik eta egoitzetatik datozen datuekin, bi informazio-sistemen artean dekalaje bat dagoelako, eta dekalaje hori hurrengo egunetan zuzenduko da.;;;;;;;;;;;;;;;;;
(*) El número de fallecidos puede que algún día no coincida con los datos que provienen de los hospitales y residencias  porque existe un decalaje entre ambos sistemas de información que se corregirá en días posteriores.;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
(*) 2021/10/04 (Ultima actualización / Azken eguneratzea);;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
