2021/10/04 (Ultima actualización / Azken eguneratzea);
Osasun-eremuaren kodea / Código zona de salud;Osasun-eremuak/Zonas de salud;Positiboak/Positivos;TISak guztira/Total de TIS;Tasa 100.000 biztanleko/Tasa por 100.000 habitantes;Hildakoak/Fallecidos;Hilkortasuna/Mortalidad;
2501;ABADIÑO-ELORRIO-BERRIZ;2510;24149;10393,8;36;1,4;
2101;ABANTO-MUSKIZ;1976;17001;11622,8;41;2,1;
1101;ABETXUKO;427;3811;11204,4;20;4,7;
2502;AIALA;1624;19208;8454,8;20;1,2;
9999;AIETE;681;12466;5462,9;3;0,4;
2401;ALANGO;2416;19675;12279,5;39;1,6;
3401;ALEGIA;997;6715;14847,4;11;1,1;
2402;ALGORTA;3829;33158;11547,7;62;1,6;
3501;ALZA-ROTETA;1959;19595;9997,4;53;2,7;
3502;AMARA BERRI;3601;32503;11079,0;60;1,7;
3503;AMARA CENTRO;2243;13615;16474,5;41;1,8;
2503;AMOREBIETA;2187;19847;11019,3;40;1,8;
3402;ANDOAIN;1557;15380;10123,5;27;1,7;
1102;ARANBIZKARRA I;1649;15105;10916,9;37;2,2;
1103;ARANBIZKARRA II;1305;12338;10577,1;25;1,9;
3201;ARRASATE;3808;25125;15156,2;91;2,4;
2504;ARRATIA;1257;13743;9146,5;18;1,4;
2505;ARRIGORRIAGA;1640;15816;10369,2;33;2,0;
2403;ASTRABUDUA;1117;10480;10658,4;16;1,4;
3301;AZKOITIA;1764;11996;14704,9;10;0,6;
3302;AZPEITIA;2440;16695;14615,2;15;0,6;
2102;BALMASEDA;1284;11752;10925,8;44;3,4;
2507;BASAURI-ARIZ;2826;26603;10622,9;78;2,8;
2506;BASAURI-KAREAGA;1550;15304;10128,1;36;2,3;
2301;BASURTO;2777;21232;13079,3;66;2,4;
3303;BEASAIN;2951;22660;13022,9;41;1,4;
2302;BEGOÑA;1438;13062;11009,0;24;1,7;
3504;BERAUN-ERRENTERIA;1453;15212;9551,7;22;1,5;
3202;BERGARA;2197;18104;12135,4;42;1,9;
2508;BERMEO;2133;19107;11163,4;41;1,9;
3505;BIDEBIETA;747;7207;10364,9;12;1,6;
2304;BOLUETA-SAGARMINAGA;1276;9713;13137,0;16;1,3;
2305;BOMBERO ETXANIZ;7194;38279;18793,6;118;1,6;
2306;CASCO VIEJO (BILBAO);1851;13151;14075,0;57;3,1;
1105;CASCO VIEJO (VITORIA-GASTEIZ);2172;18372;11822,3;57;2,6;
3101;DEBA;1384;10731;12897,2;19;1,4;
2307;DEUSTO;3310;25840;12809,6;54;1,6;
3602;DUMBOA;2844;30187;9421,3;31;1,1;
2509;DURANGO;4078;34964;11663,4;60;1,5;
3506;EGIA;1660;14786;11226,8;28;1,7;
3102;EIBAR;2736;19494;14035,1;56;2,0;
3103;ELGOIBAR;2159;18183;11873,7;18;0,8;
2404;ERANDIO;1642;14097;11647,9;24;1,5;
3104;ERMUA;2285;17240;13254,1;48;2,1;
2510;ETXEBARRI;1026;10759;9536,2;14;1,4;
2511;GALDAKAO;3301;31538;10466,7;52;1,6;
